,번호,성별,지역,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,초등 선호분야1,초등 선호분야2,초등 선호분야3,중고등 선호분야1,중고등 선호분야2,중고등 선호분야3,학교 밖 도서관 이용 여부,학교 밖 주이용 도서관1,학교 밖 주이용 도서관2,월 이용횟수,연 이용횟수,이용 목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용
10,11,여,대전,일주일에 한두 번,약간 싫어한다,2,1,0,"드라마, 영화의 원작",SNS 책 소개,직접 구입,학교 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,있다,공공도서관,-1,-1,4,숙제에 필요한 자료조사,-1,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음
11,12,남,대전,일주일에 한두 번,약간 싫어한다,3,1,0,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,-1,8,"연예, 오락, 스포츠, 취미, 여행 ",10,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
12,13,여,대전,매일,매우 좋아한다,15,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 도서관,직접 구입,-1,-1,-1,2,"예술, 문화",-1,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,매우 증가,변함 없음,약간 증가,변함 없음,매우 증가,매우 증가,변함 없음
13,14,여,대전,매일,약간 좋아한다,4,50,0,SNS 책 소개,"유튜브, 책방송 팟캐스트의 책 소개",직접 구입,부모님이 사다 주신다,-1,-1,-1,2,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,변함 없음
14,15,여,대전,전혀 읽지 않음,보통이다,3,0,0,"가족, 선생님, 친구 추천",SNS 책 소개,학교 도서관,직접 구입,-1,-1,-1,13,"과학, 기술, 컴퓨터",-1,있다,기타,-1,3,-1,독서 및 도서 대출,-1,약간 감소,약간 감소,변함 없음,9,변함 없음,매우 감소,변함 없음
15,16,여,대전,한 달에 한두 번,보통이다,6,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 도서관,직접 구입,-1,-1,-1,2,자기계발서,3,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음
16,17,여,대전,몇 달에 한번,보통이다,4,0,0,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",학교 도서관,선물,-1,-1,-1,2,시,14,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,약간 증가,변함 없음,매우 감소,매우 감소,매우 감소
17,18,여,대전,몇 달에 한번,약간 좋아한다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,-1,2,자기계발서,8,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
18,19,여,대전,한 달에 한두 번,약간 좋아한다,8,2,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,직접 구입,-1,-1,-1,10,"철학, 사상, 종교",2,있다,공공도서관,-1,-1,2,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음
19,20,여,대전,일주일에 한두 번,약간 좋아한다,6,0,0,"가족, 선생님, 친구 추천",각종 기관의 추천도서,직접 구입,집에 있는 책,-1,-1,-1,2,"정치, 사회, 시사",13,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가
20,21,남,대전,일주일에 한두 번,매우 싫어한다,0,3,2,"인터넷의 책 소개, 광고","유명인, 전문가 추천",주위 사람에게 대여,집에 있는 책,-1,-1,-1,5,"경제, 경영",7,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
21,22,남,대전,전혀 읽지 않음,약간 좋아한다,2,0,0,"드라마, 영화의 원작","가족, 선생님, 친구 추천",선물,학교 밖 도서관,-1,-1,-1,2,"역사, 지리",12,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
22,23,남,대전,매일,약간 좋아한다,2,6,0,SNS 책 소개,베스트셀러,주위 사람에게 대여,집에 있는 책,-1,-1,-1,12,소설,8,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,약간 감소,변함 없음
23,24,남,대전,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
24,25,여,대전,몇 달에 한번,약간 싫어한다,3,0,0,"인터넷의 책 소개, 광고",베스트셀러,부모님이 사다 주신다,직접 구입,-1,-1,-1,2,"역사, 지리",12,있다,공공도서관,작은도서관,-1,6,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
25,26,여,제주,일주일에 한두 번,매우 좋아한다,14,64,45,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,직접 구입,부모님이 사다 주신다,12,자기계발서,10,-1,-1,-1,있다,기타,공공도서관,15,-1,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,매우 감소,약간 감소,약간 감소,약간 감소
26,27,여,제주,몇 달에 한번,약간 싫어한다,3,5,0,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",학교 도서관,집에 있는 책,1,동시/시,3,-1,-1,-1,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,약간 증가,매우 증가,매우 증가,매우 감소,변함 없음,약간 증가,약간 감소
27,28,여,제주,일주일에 한두 번,보통이다,1,1,4,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님이 사다 주신다,학교 도서관,1,동시/시,-1,-1,-1,-1,있다,공공도서관,작은도서관,5,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음
28,29,여,제주,몇 달에 한번,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,약간 감소,약간 감소,약간 감소,약간 감소,변함 없음,변함 없음
29,30,여,제주,매일,약간 싫어한다,40,19,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,부모님이 사다 주신다,집에 있는 책,3,"역사, 위인전",12,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,변함 없음,변함 없음
30,31,여,제주,몇 달에 한번,약간 좋아한다,0,1,0,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",집에 있는 책,학교 도서관,1,과학,2,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
31,32,여,제주,한 달에 한두 번,매우 싫어한다,4,0,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,주위 사람에게 대여,1,동화/소설,5,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소,매우 감소
32,33,남,제주,매일,보통이다,12,36,90,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 밖 도서관,집에 있는 책,7,동화/소설,5,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 증가,매우 감소,약간 감소,변함 없음,매우 감소
33,34,남,제주,매일,보통이다,4,5,0,"가족, 선생님, 친구 추천","텔레비전이나 라디오의 책 소개, 광고",기타,부모님이 사다 주신다,1,"연예, 오락, 스포츠",3,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음
34,35,남,제주,일주일에 한두 번,매우 싫어한다,7,0,0,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",부모님이 사다 주신다,학교 도서관,14,그림책,11,-1,-1,-1,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
35,36,남,제주,매일,보통이다,3,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",집에 있는 책,부모님이 사다 주신다,3,"연예, 오락, 스포츠",5,-1,-1,-1,있다,공공도서관,어린이도서관,10,-1,기타,-1,매우 증가,매우 감소,매우 감소,매우 감소,9,약간 감소,매우 감소
36,37,남,제주,전혀 읽지 않음,보통이다,1,1,0,"텔레비전이나 라디오의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",부모님이 사다 주신다,집에 있는 책,12,과학,-1,-1,-1,-1,있다,어린이도서관,작은도서관,-1,1,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
37,38,남,제주,몇 달에 한번,약간 좋아한다,6,0,0,"서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",학교 도서관,집에 있는 책,1,"역사, 위인전",2,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,매우 감소,매우 감소,매우 감소,변함 없음,약간 증가,변함 없음
38,39,남,제주,일주일에 한두 번,약간 싫어한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 밖 도서관,집에 있는 책,1,"역사, 위인전",3,-1,-1,-1,있다,작은도서관,공공도서관,17,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
39,40,남,제주,매일,매우 좋아한다,5,12,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,학교 도서관,3,과학,5,-1,-1,-1,있다,공공도서관,어린이도서관,2,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
40,41,여,제주,몇 달에 한번,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음
41,42,남,제주,일주일에 한두 번,보통이다,12,3,0,기타,각종 기관의 추천도서,주위 사람에게 대여,부모님이 사다 주신다,3,과학,5,-1,-1,-1,있다,공공도서관,작은도서관,-1,1,독서 및 도서 대출,-1,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음
42,43,여,제주,일주일에 한두 번,보통이다,30,24,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,11,"역사, 위인전",13,-1,-1,-1,있다,공공도서관,작은도서관,8,-1,독서 및 도서 대출,-1,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가,변함 없음
43,44,남,제주,일주일에 한두 번,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,공공도서관,기타,10,-1,숙제에 필요한 자료조사,-1,변함 없음,매우 감소,매우 감소,매우 감소,매우 감소,매우 증가,변함 없음
44,45,남,제주,일주일에 한두 번,보통이다,60,0,0,"가족, 선생님, 친구 추천",-1,부모님이 사다 주신다,집에 있는 책,5,그림책,11,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,매우 감소,변함 없음
45,46,여,제주,일주일에 한두 번,약간 좋아한다,10,7,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관,집에 있는 책,14,취미,5,-1,-1,-1,있다,작은도서관,공공도서관,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,매우 증가,변함 없음
46,47,여,제주,매일,보통이다,40,130,0,"가족, 선생님, 친구 추천","드라마, 영화의 원작",집에 있는 책,직접 구입,12,그림책,10,-1,-1,-1,있다,작은도서관,어린이도서관,20,-1,독서 및 도서 대출,-1,매우 감소,매우 증가,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음
47,48,여,제주,전혀 읽지 않음,약간 좋아한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
48,49,여,제주,일주일에 한두 번,약간 싫어한다,3,0,0,"가족, 선생님, 친구 추천",SNS 책 소개,부모님이 사다 주신다,집에 있는 책,-1,-1,-1,14,"예술, 문화",7,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,약간 증가,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소
49,50,여,제주,일주일에 한두 번,보통이다,0,2,0,베스트셀러,"가족, 선생님, 친구 추천",직접 구입,주위 사람에게 대여,-1,-1,-1,2,"예술, 문화",13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
50,51,여,제주,몇 달에 한번,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
51,52,여,제주,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,공공도서관,-1,2,-1,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
52,53,남,제주,매일,약간 좋아한다,2,1,1,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,학교 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,약간 증가,매우 증가,변함 없음,변함 없음,매우 증가,매우 증가
53,54,여,제주,일주일에 한두 번,약간 좋아한다,25,0,0,SNS 책 소개,"서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 도서관,-1,-1,-1,3,자기계발서,2,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,약간 증가,매우 감소,매우 감소,매우 감소,변함 없음,약간 감소,매우 감소
54,55,여,제주,몇 달에 한번,보통이다,1,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,학교 도서관,-1,-1,-1,2,수필,14,없다,-1,-1,-1,-1,-1,집에서 멀다,매우 감소,매우 감소,매우 증가,매우 감소,매우 감소,약간 감소,매우 감소
55,56,남,제주,일주일에 한두 번,약간 좋아한다,0,2,0,"인터넷의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,학교 도서관,-1,-1,-1,2,자기계발서,12,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,약간 증가,약간 감소,매우 감소,변함 없음,약간 감소,약간 감소
56,57,남,제주,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
57,58,남,제주,전혀 읽지 않음,약간 좋아한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
58,59,남,제주,일주일에 한두 번,약간 좋아한다,1,2,0,"신문이나 잡지의 책 소개, 광고","유명인, 전문가 추천",학교 도서관,집에 있는 책,-1,-1,-1,1,소설,12,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,매우 감소
59,60,남,제주,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
60,61,남,제주,한 달에 한두 번,보통이다,1,1,1,SNS 책 소개,-1,학교 도서관,-1,-1,-1,-1,13,"철학, 사상, 종교",-1,없다,-1,-1,-1,-1,-1,기타,변함 없음,변함 없음,약간 감소,약간 증가,변함 없음,변함 없음,약간 증가
61,62,여,제주,한 달에 한두 번,약간 싫어한다,1,3,1,SNS 책 소개,"서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관,학교 도서관,-1,-1,-1,2,"직업, 취업 관련",10,있다,공공도서관,작은도서관,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,매우 감소
62,63,여,제주,전혀 읽지 않음,보통이다,3,0,0,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",8,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
63,64,여,제주,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
64,65,여,제주,한 달에 한두 번,보통이다,5,0,0,SNS 책 소개,"가족, 선생님, 친구 추천",직접 구입,선물,-1,-1,-1,14,소설,-1,있다,공공도서관,작은도서관,-1,3,시험 공부,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
65,66,여,제주,한 달에 한두 번,약간 좋아한다,2,0,0,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",학교 도서관,학교 밖 도서관,-1,-1,-1,2,수필,12,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음
66,67,여,제주,일주일에 한두 번,보통이다,3,7,0,SNS 책 소개,베스트셀러,직접 구입,주위 사람에게 대여,-1,-1,-1,2,"철학, 사상, 종교",-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,약간 증가,변함 없음,매우 감소,변함 없음,변함 없음
67,68,남,제주,한 달에 한두 번,약간 싫어한다,3,0,0,"서점, 도서관 등에서 책을 직접 보고",-1,학교 도서관,집에 있는 책,-1,-1,-1,9,"직업, 취업 관련",12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
68,69,남,제주,매일,보통이다,1,5,0,"가족, 선생님, 친구 추천","드라마, 영화의 원작",학교 도서관,학교 밖 도서관,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
69,70,남,제주,전혀 읽지 않음,약간 싫어한다,3,0,0,"유명인, 전문가 추천",베스트셀러,학교 도서관,집에 있는 책,-1,-1,-1,6,자기계발서,13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,약간 증가,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음
70,71,남,제주,일주일에 한두 번,보통이다,4,0,0,"가족, 선생님, 친구 추천","인터넷의 책 소개, 광고",학교 도서관,주위 사람에게 대여,-1,-1,-1,12,"철학, 사상, 종교",1,있다,공공도서관,작은도서관,1,-1,숙제에 필요한 자료조사,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
71,72,남,제주,한 달에 한두 번,보통이다,3,2,0,"인터넷의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,학교 도서관,-1,-1,-1,13,소설,6,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
72,73,여,경기,매일,보통이다,10,60,0,"가족, 선생님, 친구 추천",SNS 책 소개,학교 밖 도서관,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,있다,공공도서관,작은도서관,-1,5,독서 및 도서 대출,-1,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,변함 없음
73,74,여,경기,일주일에 한두 번,매우 좋아한다,60,0,0,베스트셀러,각종 기관의 추천도서,학교 밖 도서관,집에 있는 책,-1,-1,-1,2,"역사, 지리",8,있다,공공도서관,어린이도서관,4,-1,독서 및 도서 대출,-1,약간 감소,매우 감소,매우 감소,매우 감소,약간 감소,변함 없음,매우 감소
74,75,남,경기,몇 달에 한번,약간 싫어한다,3,1,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,-1,-1,-1,3,시,12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,매우 감소,매우 감소
75,76,여,경기,일주일에 한두 번,매우 좋아한다,15,3,0,"서점, 도서관 등에서 책을 직접 보고","드라마, 영화의 원작",직접 구입,부모님이 사다 주신다,-1,-1,-1,2,시,11,있다,공공도서관,어린이도서관,2,-1,시험 공부,-1,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
76,77,남,경기,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
77,78,남,경기,몇 달에 한번,약간 싫어한다,3,0,0,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,-1,-1,-1,12,소설,13,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가
78,79,여,경기,몇 달에 한번,약간 좋아한다,2,0,0,"인터넷의 책 소개, 광고",베스트셀러,학교 밖 도서관,직접 구입,-1,-1,-1,9,소설,14,있다,공공도서관,작은도서관,-1,4,독서 및 도서 대출,-1,약간 증가,매우 증가,매우 증가,변함 없음,약간 감소,약간 증가,변함 없음
79,80,남,경기,한 달에 한두 번,약간 싫어한다,3,6,0,"가족, 선생님, 친구 추천","드라마, 영화의 원작",학교 밖 도서관,부모님이 사다 주신다,-1,-1,-1,7,"연예, 오락, 스포츠, 취미, 여행 ",13,있다,공공도서관,어린이도서관,1,-1,시험 공부,-1,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음
