,번호,지역,나이,성별,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,종이책 선호분야1,종이책 선호분야2,전자책 선호분야1,전자책 선호분야2,오디오북 선호분야1,오디오북 선호분야2,지난 1년 도서관 이용여부,주이용 도서관1,주이용 도서관2,월 이용빈도,연 이용빈도,이용목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용,전자책 이용이유1,전자책 이용이유2,전자책 이용방식1,전자책 이용방식2
1654,1655,인천,29,남,일주일에 한두 번,약간 좋아한다,4,0,0,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,-1,소설,"취미, 오락, 여행, 건강",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1655,1656,인천,31,여,매일,약간 좋아한다,4,0,3,"서점, 도서관 등에서 책을 직접 보고",SNS 책 소개,직접 구입,-1,재테크,자기계발서,-1,-1,소설,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,-1,-1,정기구독 이용,-1
1656,1657,인천,37,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1657,1658,인천,27,남,매일,많이 좋아한다,6,0,2,SNS 책 소개,"신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,자기계발서,-1,-1,소설,-1,있다,공공도서관,-1,-1,4,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,정기구독 이용,-1
1658,1659,인천,38,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1659,1660,인천,46,여,매일,약간 좋아한다,12,0,0,베스트셀러,SNS 책 소개,직접 구입,도서관 대여,"가정, 육아, 요리",소설,-1,-1,-1,-1,있다,공공도서관,-1,-1,6,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,-1,-1,-1,-1
1660,1661,인천,55,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1661,1662,인천,28,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1662,1663,인천,34,여,일주일에 한두 번,보통이다,3,0,0,베스트셀러,각종 기관 추천도서,직접 구입,도서관 대여,"가정, 육아, 요리",자기계발서,-1,-1,-1,-1,있다,공공도서관,-1,-1,3,독서 및 도서 대출,-1,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음,-1,-1,-1,-1
1663,1664,인천,43,여,일주일에 한두 번,보통이다,6,0,0,SNS 책 소개,베스트셀러,도서관 대여,직접 구입,"가정, 육아, 요리",소설,-1,-1,-1,-1,있다,공공도서관,-1,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1664,1665,인천,62,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1665,1666,인천,37,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1666,1667,인천,56,여,한 달에 한두 번,보통이다,2,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,-1,재테크,자기계발서,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1667,1668,인천,58,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1668,1669,인천,32,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1669,1670,인천,44,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1670,1671,인천,28,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1671,1672,인천,36,여,일주일에 한두 번,많이 좋아한다,5,2,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,직장 비치,소설,재테크,소설,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,무료 이용,-1
1672,1673,인천,47,남,일주일에 한두 번,보통이다,3,0,0,베스트셀러,"가족, 친구 추천",직접 구입,-1,재테크,자기계발서,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
1673,1674,인천,35,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1674,1675,인천,53,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1675,1676,인천,45,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1676,1677,인천,33,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1677,1678,인천,63,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1678,1679,인천,41,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1679,1680,인천,56,여,일주일에 한두 번,약간 좋아한다,8,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,-1,소설,"취미, 오락, 여행, 건강",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1680,1681,인천,45,여,매일,약간 좋아한다,15,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,"가정, 육아, 요리",자기계발서,-1,-1,-1,-1,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,-1,-1,-1,-1
1681,1682,인천,56,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1682,1683,인천,65,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1683,1684,인천,66,여,몇 달에 한번,보통이다,3,0,0,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,"예술, 문화","취미, 오락, 여행, 건강",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1684,1685,인천,65,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1685,1686,인천,62,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1686,1687,인천,35,여,매일,약간 좋아한다,11,0,0,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,도서관 대여,"가정, 육아, 요리","어학, 외국어",-1,-1,-1,-1,있다,공공도서관,전문도서관,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,-1,-1,-1,-1
1687,1688,인천,22,남,매일,보통이다,15,5,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,"정치, 사회, 시사","과학, 기술, 컴퓨터",소설,"경제, 경영",-1,-1,있다,대학도서관,공공도서관,7,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,대여 이용
1688,1689,인천,38,남,매일,보통이다,0,7,0,"유튜브, 책방송 팟캐스트의 책 소개",SNS 책 소개,직접 구입,집에 있는 책,-1,-1,소설,"철학, 사상, 종교",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,무료로 이용할 수 있어서,무료 이용,구매 이용
1689,1690,인천,22,여,일주일에 한두 번,약간 좋아한다,11,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,"정치, 사회, 시사","역사, 지리",-1,-1,-1,-1,있다,대학도서관,공공도서관,5,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,-1,-1,-1,-1
1690,1691,인천,35,여,일주일에 한두 번,약간 좋아한다,7,0,0,"신문이나 잡지의 책 소개, 광고","가족, 친구 추천",직접 구입,도서관 대여,"가정, 육아, 요리",소설,-1,-1,-1,-1,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,-1,-1,-1,-1
1691,1692,인천,47,남,매일,보통이다,0,10,0,"가족, 친구 추천",SNS 책 소개,직접 구입,집에 있는 책,-1,-1,소설,"역사, 지리",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
1692,1693,인천,47,여,한 달에 한두 번,보통이다,3,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,집에 있는 책,소설,"가정, 육아, 요리",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1693,1694,인천,56,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1694,1695,인천,26,여,일주일에 한두 번,약간 좋아한다,0,0,10,"신문이나 잡지의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,-1,-1,-1,-1,-1,소설,"취미, 오락, 여행, 건강",없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,-1,-1,무료 이용,정기구독 이용
1695,1696,인천,39,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1696,1697,인천,56,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1697,1698,인천,66,여,일주일에 한두 번,약간 좋아한다,5,0,0,"가족, 친구 추천","서점, 도서관 등에서 책을 직접 보고",집에 있는 책,직접 구입,"철학, 사상, 종교","취미, 오락, 여행, 건강",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1698,1699,인천,24,남,매일,약간 좋아한다,10,4,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,직장 비치,"경제, 경영","철학, 사상, 종교",자기계발서,"어학, 외국어",-1,-1,있다,대학도서관,공공도서관,10,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
1699,1700,인천,64,남,일주일에 한두 번,보통이다,4,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,선물,"철학, 사상, 종교",소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1700,1701,인천,61,여,일주일에 한두 번,약간 좋아한다,10,0,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,수필,소설,-1,-1,-1,-1,있다,공공도서관,-1,3,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1701,1702,인천,63,여,한 달에 한두 번,보통이다,3,0,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,선물,시,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1702,1703,인천,38,여,매일,약간 좋아한다,20,10,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,집에 있는 책,소설,"정치, 사회, 시사","가정, 육아, 요리","취미, 오락, 여행, 건강",-1,-1,있다,공공도서관,-1,2,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음,보관과 휴대가 편리해서,무료로 이용할 수 있어서,정기구독 이용,무료 이용
1703,1704,인천,38,여,한 달에 한두 번,약간 좋아한다,5,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,선물,"취미, 오락, 여행, 건강",소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
1704,1705,인천,25,남,일주일에 한두 번,보통이다,0,5,0,"유튜브, 책방송 팟캐스트의 책 소개",SNS 책 소개,직접 구입,집에 있는 책,-1,-1,소설,"취미, 오락, 여행, 건강",-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,약간 증가,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,시간과 장소에 관계없이 이용할 수 있어서,종이책보다 가격이 저렴해서,무료 이용,구매 이용
1705,1706,인천,34,남,매일,보통이다,0,10,0,"인터넷의 책 소개, 광고","가족, 친구 추천",직접 구입,집에 있는 책,-1,-1,소설,"취미, 오락, 여행, 건강",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,무료 이용,구매 이용
1706,1707,인천,52,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1707,1708,인천,68,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,이용 절차가 까다롭다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1708,1709,인천,60,여,일주일에 한두 번,보통이다,0,5,3,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,-1,-1,소설,"정치, 사회, 시사","취미, 오락, 여행, 건강",자기계발서,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,무료로 이용할 수 있어서,무료 이용,구매 이용
1709,1710,인천,23,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,대학도서관,-1,20,-1,"공부, 학습",-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,-1,-1,-1,-1
1710,1711,인천,56,여,매일,약간 좋아한다,12,0,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,소설,수필,-1,-1,-1,-1,있다,공공도서관,전문도서관,2,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,-1,-1,-1,-1
1711,1712,인천,43,여,일주일에 한두 번,약간 좋아한다,0,7,0,"인터넷의 책 소개, 광고",SNS 책 소개,직접 구입,직장 비치,-1,-1,소설,"역사, 지리",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,약간 증가,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,시간과 장소에 관계없이 이용할 수 있어서,정기구독 서비스로 무제한 이용이 가능해서,정기구독 이용,무료 이용
1712,1713,인천,29,여,일주일에 한두 번,보통이다,2,3,0,"인터넷의 책 소개, 광고",SNS 책 소개,직접 구입,선물,자기계발서,재테크,소설,시,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,약간 증가,약간 증가,변함 없음,변함 없음,매우 감소,매우 감소,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,무료 이용
1713,1714,인천,28,여,일주일에 한두 번,보통이다,3,6,0,SNS 책 소개,"인터넷의 책 소개, 광고",직접 구입,직장 비치,"어학, 외국어",자기계발서,"예술, 문화",소설,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 감소,약간 증가,약간 증가,변함 없음,변함 없음,매우 감소,매우 감소,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,무료 이용
1714,1715,인천,65,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음,-1,-1,-1,-1
1715,1716,인천,31,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,매우 감소,매우 감소,변함 없음,매우 감소,매우 감소,변함 없음,-1,-1,-1,-1
1716,1717,인천,37,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,매우 감소,매우 감소,-1,-1,-1,-1
1717,1718,인천,48,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,변함 없음,매우 감소,변함 없음,매우 감소,매우 감소,매우 감소,-1,-1,-1,-1
1718,1719,인천,53,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,-1,-1,-1,-1
1719,1720,인천,64,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,-1,-1,-1,-1
1720,1721,인천,25,남,일주일에 한두 번,보통이다,4,0,0,"서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",도서관 대여,직접 구입,"어학, 외국어",자기계발서,-1,-1,-1,-1,있다,대학도서관,-1,2,-1,"공부, 학습",-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1721,1722,인천,39,남,일주일에 한두 번,보통이다,4,0,0,"인터넷의 책 소개, 광고",각종 기관 추천도서,직접 구입,직장 비치,재테크,"어학, 외국어",-1,-1,-1,-1,있다,직장도서관,-1,1,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
1722,1723,인천,43,남,일주일에 한두 번,약간 좋아한다,6,0,0,"신문이나 잡지의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,집에 있는 책,"역사, 지리",재테크,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,매우 감소,매우 감소,-1,-1,-1,-1
1723,1724,인천,65,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,매우 감소,매우 감소,-1,-1,-1,-1
1724,1725,인천,61,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,매우 감소,변함 없음,-1,-1,-1,-1
1725,1726,인천,29,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,매우 감소,매우 감소,변함 없음,매우 감소,매우 감소,매우 감소,-1,-1,-1,-1
1726,1727,인천,41,여,매일,약간 좋아한다,0,10,0,"인터넷의 책 소개, 광고",SNS 책 소개,직접 구입,선물,-1,-1,"예술, 문화","정치, 사회, 시사",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,약간 증가,변함 없음,변함 없음,약간 증가,매우 감소,약간 감소,보관과 휴대가 편리해서,다양한 기능들이 편리해서,구매 이용,무료 이용
1727,1728,인천,51,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,매우 감소,매우 감소,매우 감소,변함 없음,매우 감소,매우 감소,매우 감소,-1,-1,-1,-1
1728,1729,인천,68,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1729,1730,인천,57,여,일주일에 한두 번,보통이다,4,0,0,"서점, 도서관 등에서 책을 직접 보고","가족, 친구 추천",직접 구입,선물,소설,시,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
1730,1731,인천,53,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음,-1,-1,-1,-1
