,학교구분,성별,학교 소재지,독서 빈도,독서장애요인1,독서장애요인2,도서 선택시 이용정보1,도서 선택시 이용정보2,도서 입수경로1,도서 입수경로2,초등 독서분야 선호도1,초등 독서분야 선호도2,초등 독서분야 선호도3,중고등 독서분야 선호도1,중고등 독서분야 선호도2,중고등 독서분야 선호도3,학교 밖 도서관이용경험,주이용 도서관 종류1,주이용 도서관 종류2,이용 이유,비이용 이유,연도,독서선호도,월 평균 이용빈도,연 평균 이용빈도,평일 평균 독서시간(분),주말 평균 독서시간(분),종이_평일 평균 독서시간(분),종이_주말 평균 독서시간(분),전자_평일 평균 독서시간(분),전자_주말 평균 독서시간(분),오디오_평일 평균 독서시간(분),오디오_주말 평균 독서시간(분)
19,초등,남,서울,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",학교 밖 도서관 대여,0,동화/소설,"연예, 오락, 스포츠",동화/소설,0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
20,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,0,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",부모님께서 구입,0,동화/소설,"역사, 위인전",과학,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
21,초등,남,서울,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",학업 때문에 책읽을시간이 없어서,베스트셀러,"서점, 도서관 등에서 책을 직접 보고",직접 구입,학교 밖 도서관 대여,동화/소설,취미,"연예, 오락, 스포츠",0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
22,초등,남,서울,매일,무응답,0,"가족, 선생님, 친구 추천",각종 기관의 추천도서,부모님께서 구입,학교 도서관 대여,"역사, 위인전",사회,0,0,0,0,있다,작은도서관,0,9,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
23,초등,남,서울,매일,기타,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,"연예, 오락, 스포츠",그림책,기타,0,0,0,있다,어린이도서관,0,숙제에 필요한 자료조사,0,2017,0.0,0.0,0.0,60.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
24,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 밖 도서관 대여,집에 있는 책,취미,"연예, 오락, 스포츠","역사, 위인전",0,0,0,있다,어린이도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,120.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
25,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,기타,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",도서 대여점에서 대여,집에 있는 책,기타,동화/소설,"연예, 오락, 스포츠",0,0,0,있다,어린이도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,180.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
26,초등,남,서울,일주일에 한두 번,읽을 만한 책이 없어서,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,집에 있는 책,동화/소설,그림책,"역사, 위인전",0,0,0,없다,0,0,0,주로 학교도서관을 이용한다,2017,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,초등,남,서울,일주일에 한두 번,읽을 만한 책이 없어서,기타,"인터넷의 책 소개, 광고","드라마, 영화의 원작",도서 대여점에서 대여,주위 사람에게 대여,기타,과학,동화/소설,0,0,0,있다,어린이도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
28,초등,남,서울,일주일에 한두 번,어떤 책을 읽을지 몰라서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,집에 있는 책,동화/소설,자기계발서,"연예, 오락, 스포츠",0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
29,초등,남,서울,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",학업 때문에 책읽을시간이 없어서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,집에 있는 책,학교 도서관 대여,동화/소설,취미,동화/소설,0,0,0,있다,작은도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
30,초등,남,서울,매일,읽을 만한 책이 없어서,책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천","드라마, 영화의 원작",도서 대여점에서 대여,집에 있는 책,동화/소설,"역사, 위인전","연예, 오락, 스포츠",0,0,0,있다,작은도서관,0,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
31,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",학업 때문에 책읽을시간이 없어서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,학교 도서관 대여,동화/소설,동화/소설,종교,0,0,0,있다,기타,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
32,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,구입하지 않고 서점에서 독서,과학,"연예, 오락, 스포츠",취미,0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,기타,각종 기관의 추천도서,"가족, 선생님, 친구 추천",집에 있는 책,부모님께서 구입,동화/소설,"역사, 위인전",과학,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
34,초등,남,서울,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책을 읽고 이해하기가 어려워서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,집에 있는 책,동화/소설,"연예, 오락, 스포츠",그림책,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,90.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
35,초등,남,서울,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,읽을 만한 책이 없어서,"인터넷의 책 소개, 광고",각종 기관의 추천도서,부모님께서 구입,0,동화/소설,과학,취미,0,0,0,없다,0,0,0,주로 학교도서관을 이용한다,2017,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
36,초등,남,강원,한 달에 한두 번,책을 읽을만한 가정환경이 아니어서,책읽기가 싫고 습관이 들지않아서,"유튜브, 책방송 팟캐스트의 책 소개","인터넷의 책 소개, 광고",집에 있는 책,부모님께서 구입,"역사, 위인전",동화/소설,"철학, 논리",0,0,0,없다,0,0,0,읽을 만한 책이 없다,2017,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
37,초등,남,강원,매일,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","유명인, 전문가 추천",집에 있는 책,학교 도서관 대여,"역사, 위인전",사회,"철학, 논리",0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
38,초등,남,강원,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,부모님이 책읽는 것을 공부라고 생각하지 않으셔서,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",학교 도서관 대여,집에 있는 책,동화/소설,사회,과학,0,0,0,없다,0,0,0,무응답,2017,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
39,초등,남,강원,매일,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,집에 있는 책,취미,동화/소설,0,0,0,0,있다,공공도서관,작은도서관,기타,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
40,초등,남,강원,매일,어떤 책을 읽을지 몰라서,읽을 만한 책이 없어서,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,학교 도서관 대여,학교 밖 도서관 대여,동화/소설,"역사, 위인전",사회,0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
41,초등,남,강원,일주일에 한두 번,어떤 책을 읽을지 몰라서,0,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,학교 도서관 대여,"역사, 위인전",사회,동화/소설,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
42,초등,남,강원,일주일에 한두 번,기타,학업 때문에 책읽을시간이 없어서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",기타,학교 도서관 대여,동화/소설,취미,"철학, 논리",0,0,0,있다,작은도서관,0,독서 및 도서 대출,0,2017,0.0,0.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
43,초등,남,충남,매일,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,베스트셀러,"드라마, 영화의 원작",주위 사람에게 대여,학교 도서관 대여,"연예, 오락, 스포츠","역사, 위인전",그림책,0,0,0,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2017,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,초등,남,충남,한 달에 한두 번,읽을 만한 책이 없어서,어떤 책을 읽을지 몰라서,기타,0,학교 도서관 대여,기타,그림책,동화/소설,동화/소설,0,0,0,없다,0,0,0,"책이 낡고, 시설이 쾌적하지 않다",2017,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
45,초등,남,충남,매일,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,베스트셀러,0,집에 있는 책,도서 대여점에서 대여,사회,취미,그림책,0,0,0,있다,기타,0,9,0,2017,0.0,0.0,0.0,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
46,초등,남,충남,일주일에 한두 번,책을 읽을만한 가정환경이 아니어서,부모님이 책읽는 것을 공부라고 생각하지 않으셔서,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",부모님께서 구입,집에 있는 책,그림책,기타,"연예, 오락, 스포츠",0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,70.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
47,초등,남,충남,몇 달에 한번,책을 읽고 이해하기가 어려워서,책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",학교 도서관 대여,주위 사람에게 대여,과학,"역사, 위인전",동시/시,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,초등,남,충남,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,"텔레비전이나 라디오의 책 소개, 광고","가족, 선생님, 친구 추천",주위 사람에게 대여,0,그림책,동화/소설,취미,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
49,초등,남,충남,무응답,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",어떤 책을 읽을지 몰라서,"신문이나 잡지의 책 소개, 광고","가족, 선생님, 친구 추천",집에 있는 책,0,그림책,동화/소설,0,0,0,0,없다,0,0,0,무응답,2017,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,초등,남,경남,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,책을 읽을만한 가정환경이 아니어서,베스트셀러,각종 기관의 추천도서,학교 도서관 대여,집에 있는 책,사회,과학,동화/소설,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,25.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
51,초등,남,경남,일주일에 한두 번,어떤 책을 읽을지 몰라서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,학교 밖 도서관 대여,사회,"역사, 위인전",자기계발서,0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
52,초등,남,경남,매일,학업 때문에 책읽을시간이 없어서,어떤 책을 읽을지 몰라서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,학교 도서관 대여,사회,동시/시,과학,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
53,초등,남,경남,일주일에 한두 번,기타,학업 때문에 책읽을시간이 없어서,"서점, 도서관 등에서 책을 직접 보고",기타,도서 대여점에서 대여,집에 있는 책,기타,과학,"역사, 위인전",0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
54,초등,남,경남,매일,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천","유튜브, 책방송 팟캐스트의 책 소개",부모님께서 구입,학교 밖 도서관 대여,사회,"연예, 오락, 스포츠",그림책,0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
55,초등,남,경남,한 달에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","휴대전화,인터넷,텔레비전,게임 등을 이용해서","텔레비전이나 라디오의 책 소개, 광고","인터넷의 책 소개, 광고",학교 도서관 대여,직접 구입,종교,취미,"역사, 위인전",0,0,0,있다,작은도서관,공공도서관,숙제에 필요한 자료조사,0,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
56,초등,남,경남,매일,읽을 만한 책이 없어서,어떤 책을 읽을지 몰라서,베스트셀러,"드라마, 영화의 원작",직접 구입,부모님께서 구입,과학,"철학, 논리","역사, 위인전",0,0,0,있다,기타,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,40.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
57,초등,남,경남,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"드라마, 영화의 원작",베스트셀러,부모님께서 구입,집에 있는 책,취미,"연예, 오락, 스포츠",동화/소설,0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
58,초등,남,경남,일주일에 한두 번,읽을 만한 책이 없어서,독서가 필요하다고 생각하지 않아서,"서점, 도서관 등에서 책을 직접 보고",기타,집에 있는 책,학교 도서관 대여,취미,그림책,"연예, 오락, 스포츠",0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
59,초등,남,경남,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,어떤 책을 읽을지 몰라서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,집에 있는 책,동화/소설,"역사, 위인전","연예, 오락, 스포츠",0,0,0,있다,공공도서관,기타,독서 및 도서 대출,0,2017,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
60,초등,남,경남,일주일에 한두 번,기타,어떤 책을 읽을지 몰라서,"가족, 선생님, 친구 추천",기타,집에 있는 책,부모님께서 구입,취미,과학,기타,0,0,0,있다,작은도서관,기타,기타,0,2017,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
61,초등,남,경남,매일,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,베스트셀러,각종 기관의 추천도서,학교 도서관 대여,집에 있는 책,과학,그림책,"철학, 논리",0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,180.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
62,초등,남,경남,매일,기타,학업 때문에 책읽을시간이 없어서,SNS 책 소개,"가족, 선생님, 친구 추천",직접 구입,학교 도서관 대여,취미,사회,과학,0,0,0,없다,0,0,0,무응답,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
63,초등,남,경남,매일,학업 때문에 책읽을시간이 없어서,책을 읽을만한 가정환경이 아니어서,"가족, 선생님, 친구 추천",각종 기관의 추천도서,부모님께서 구입,집에 있는 책,과학,사회,취미,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,120.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
64,초등,남,경남,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",도서 대여점에서 대여,구입하지 않고 서점에서 독서,그림책,취미,기타,0,0,0,있다,작은도서관,기타,독서 및 도서 대출,0,2017,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
65,초등,남,경남,매일,학업 때문에 책읽을시간이 없어서,부모님이 책읽는 것을 공부라고 생각하지 않으셔서,기타,"가족, 선생님, 친구 추천",집에 있는 책,0,과학,"연예, 오락, 스포츠",동화/소설,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,초등,남,경남,매일,책읽기가 싫고 습관이 들지않아서,기타,베스트셀러,SNS 책 소개,집에 있는 책,0,"연예, 오락, 스포츠",과학,동화/소설,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
67,초등,남,제주,일주일에 한두 번,어떤 책을 읽을지 몰라서,책을 읽고 이해하기가 어려워서,"가족, 선생님, 친구 추천","텔레비전이나 라디오의 책 소개, 광고",부모님께서 구입,집에 있는 책,과학,"연예, 오락, 스포츠",동화/소설,0,0,0,있다,작은도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
